Date,AAPL,MSFT,ASML.AS,^GSPC,EURUSD,^IRX,Portfolio_PnL,Loss
2016-07-01,757.1428095130543,-48.88867886735074,-679.934999977258,389.3412586064045,-395.7684491941445,1.2499988079070976,23.141938888612565,-23.141938888612565
2016-07-04,0.0,0.0,-1824.6574697697065,0.0,449.1952862361505,-0.0,-1375.462183533556,1375.462183533556
2016-07-05,-2357.5518477887163,48.88867886734698,-2350.778447111027,-1374.205797119744,269.5513538801489,1.2499988079071045,-5762.846060464084,5762.846060464084
2016-07-06,1417.276148753948,1023.8943654737574,-3767.7309359557444,1067.7374116551919,-1459.2400178650312,-6.2500014901161265,-1724.3130294279943,1724.3130294279943
2016-07-07,1070.6169551989392,0.0,2208.380942900753,-174.39157734660017,613.9241970488566,-1.7499998211860517,3716.7805179807624,-3716.7805179807624
2016-07-08,1920.9048218671517,4436.818779933546,3933.0975560538445,3027.63731319848,-600.6516373823596,-0.7499977946281433,12717.056835876034,-12717.056835876034
2016-07-11,774.5931713647715,1382.4334782376775,6513.560739175949,680.5638623996477,-393.55194182261334,-0.5000010132789751,8957.09930834215,-8957.09930834215
2016-07-12,1131.643138832957,2930.0703084357024,929.2426216336927,1396.968461469144,254.16767644009158,-4.999995231628404,6637.092211579959,-6637.092211579959
2016-07-13,-1415.3669255938853,1405.5654523343383,858.9642465645929,26.951734996340765,88.48696861192569,-0.7500052452087541,963.8514716681036,-963.8514716681036
2016-07-14,4906.610808444269,1072.3164683455466,3161.6179395974714,1049.0845603393998,578.3066658427837,-1.2499988079070907,10766.686443761562,-10766.686443761562
2016-07-15,-25.39986357013065,-186.2137632461462,-975.8251707436033,-185.87581197422875,199.81144901007934,1.2499988079070907,-1172.2531617161226,1172.2531617161226
2016-07-18,2643.456741432414,1207.4986379901704,2162.198245710435,475.8923643737473,-955.044938284693,2.500005066394806,5536.501056288469,-5536.501056288469
2016-07-19,100.11758972852384,-4063.5969350598084,3242.327159538271,-287.24090008307724,338.4950347345983,-5.500003695487976,-675.3980548369802,675.3980548369802
2016-07-20,225.19659726602632,12938.685593108263,5818.105534314611,852.2416631527982,-1055.6729013357478,-1.2499988079071045,18777.306487698046,-18777.306487698046
2016-07-21,-1329.080304471459,-492.311598688585,-1920.61820948886,-723.8139713049952,107.97118801508336,2.9999986290931844,-4354.852897309723,4354.852897309723
2016-07-22,-1943.4602017876148,3426.203427737193,-790.1533605396088,908.7253579020488,242.56559411575608,-0.0,1843.8808174277744,-1843.8808174277744
2016-07-25,-3367.474457369091,706.1027710143118,1680.4715048862793,-603.2037479859401,-1135.3530678896857,1.2499988079070907,-2718.2069985362186,2718.2069985362186
2016-07-26,-1726.7255871810498,132.14882871645852,2749.3165517324546,64.54643214388254,377.7287153525107,-2.499997615814195,1594.5149431484424,-1594.5149431484424
2016-07-27,15735.069633500378,-2523.2725135663354,2108.0739742690403,-239.85218936172743,-61.527407517253394,6.250001490116119,15024.741498814219,-15024.741498814219
2016-07-28,3352.8439445689633,88.99825066010182,-787.8839003211212,320.9840896184906,1553.0764030019632,15.749998390674579,4543.768785919072,-4543.768785919072
2016-07-29,-311.6897469798811,2081.7157084014393,283.1103463951134,325.996023531573,197.20942960781224,-4.999998956918696,2571.3417619991383,-2571.3417619991383
2016-08-01,4375.693894100455,-441.53643689873815,-1399.5921889914364,-254.1188294982117,1504.2678044919044,0.49999728798864884,3785.2142404919614,-3785.2142404919614
2016-08-02,-3728.7460949302135,0.0,-1799.4405071515253,-1276.388162533534,0.0,-10.499998927116401,-6815.074763542389,6815.074763542389
2016-08-03,3115.1072328504083,1717.3371987845164,-205.56741555098677,625.8085432142194,911.1349722370107,2.99999862909317,6166.820530164261,-6166.820530164261
2016-08-04,1539.5100761785252,1836.3559389385443,3384.4514996319144,42.509859897817414,-1207.9889255336773,5.000002682209029,5599.838451795333,-5599.838451795333
2016-08-05,3773.3342635226268,2470.7155919092534,-60.6943498994739,1713.339457876012,-300.87101418904695,-0.5000010132789751,7595.323948206092,-7595.323948206092
