Date,Loss,VaR_Normal,ES_Normal,VaR_t,ES_t,VaR_HS,ES_HS,VaR_EWMA,ES_EWMA,VaR_FHS,ES_FHS
2020-05-27,-4202.97127671994,30334.999261088582,30488.519949395046,39350.0412647174,49088.4403288779,38762.19711258615,43940.42008101442,47783.549241157605,48018.83505205759,28822.812719699217,30209.32103439927
2020-05-28,1164.5754970690111,30334.271374155618,30487.795182434314,39331.65454199077,49050.80198529612,38762.19711258615,43940.42008101442,46389.73571565885,46618.1584000059,27060.64440428037,28357.718929796836
2020-05-29,-5398.96048771194,30337.16271937532,30490.688117528018,39316.59327084973,49010.444190364105,38762.19711258615,43940.42008101442,44981.41297663498,45202.90109117877,25151.288247935805,26351.347644730144
2020-06-01,-3419.1123468518344,30336.380059093324,30489.91161315827,39285.4209068899,48944.56505643269,38762.19711258615,43940.42008101442,43719.47927350039,43934.75363667244,24263.26713195047,25404.74295710582
2020-06-02,-6648.447056576102,30332.636313163363,30486.16968516,39279.24225423372,48942.16184200695,38762.19711258615,43940.42008101442,42432.361536120814,42641.298141939704,23049.62541834617,24114.169630510285
2020-06-03,-4265.96455053031,30316.265723114244,30469.78626765004,39284.32825168398,48991.13464691002,38762.19711258615,43940.42008101442,41313.77411212763,41517.20280249661,22952.769918437923,23997.226532207456
2020-06-04,9645.422299346204,30285.36534531264,30438.815701793068,39289.13295945811,49073.47967997563,38762.19711258615,43940.42008101442,40128.886628820386,40326.48094278237,22068.379058177754,23122.01714351922
2020-06-05,-21580.884320719793,30303.008942182194,30456.50475288143,39245.509886590065,48938.38578098741,38762.19711258615,43940.42008101442,39292.71378218354,39486.190787795735,23579.60360792061,24623.158891265255
2020-06-08,-6520.843745396194,30315.638260626907,30469.31326323085,39318.754244498195,49021.86853278813,38762.19711258615,43940.42008101442,40031.396352136886,40228.51062476313,32829.209095031554,34119.85121444278
2020-06-09,-8664.679873827978,30314.477890019174,30468.16452668115,39266.819033154046,48910.82080082511,38762.19711258615,43940.42008101442,38989.34742930253,39181.33066144098,31049.376740010786,32185.81525521869
2020-06-10,-16120.813293204985,30280.203810222065,30433.829847650344,39203.66318361796,48844.657586616384,38762.19711258615,43940.42008101442,38122.66364378508,38310.379331956894,30197.029018729867,31352.77614783675
2020-06-11,47010.71388556108,30284.905121183703,30438.629805705383,39163.22123448242,48712.25112764374,38762.19711258615,43940.42008101442,38085.74567350859,38273.279577892645,33211.42429741756,34388.50914298771
2020-06-12,-8276.232851774683,30533.860950737173,30688.53586464811,39698.9141034024,49637.85197454832,39377.84047084284,44584.817769083355,45619.20788546191,45843.83649699043,67691.67284413792,65948.36018724115
2020-06-15,-7424.032312515915,30527.872780261372,30682.567833911155,39641.46310373526,49523.49026478176,39377.84047084284,44584.817769083355,44480.186572000195,44699.20665177194,58270.17433628283,59832.6792730015
2020-06-16,-19937.131182329853,30527.08730481309,30681.766823033522,39657.08891432222,49567.04289449385,39377.84047084284,44584.817769083355,43332.14487067595,43545.51200237387,51359.66039021389,54353.78880397994
2020-06-17,-630.3838531894505,30405.201820405917,30559.542492777207,39391.716753790904,49099.6114664134,39377.84047084284,44495.52542873185,43521.08072589345,43735.37817621796,51817.58182173205,54198.77765081396
2020-06-18,-334.94456009800035,30365.186356657243,30519.410067516623,39376.91149971006,49152.2107765178,39377.84047084284,44495.52542873185,42196.78228784714,42404.558903348414,46720.322527521166,48814.94674753195
2020-06-19,5387.328386473294,30361.599712184205,30515.729605844255,39420.4020640643,49289.010857281115,39377.84047084284,44495.52542873185,40911.74352495672,41113.19261995844,42275.536453033405,44150.02274007127
2020-06-22,-18220.99490857122,30371.682804378852,30525.775901649467,39439.277294575986,49325.813474864386,39377.84047084284,44495.52542873185,39784.02665913588,39979.9228853898,38820.783884986064,40560.599127141504
2020-06-23,-9632.499433886722,30381.302935500305,30535.47730082353,39516.76525954399,49446.12631265233,39377.84047084284,44495.52542873185,39945.07603371707,40141.76526579193,41002.17148294581,42817.6821290671
2020-06-24,19100.807051994685,30380.847628419222,30535.052408872594,39437.94044143593,49265.012898255554,39377.84047084284,44495.52542873185,39115.228819348034,39307.831890435344,38796.454416201246,40537.08486044382
2020-06-25,-9786.838483009938,30426.19049975226,30580.550085062147,39569.14211540332,49464.50316916497,39377.84047084284,44495.52542873185,39454.65576370726,39648.930170329775,41522.73622697545,43346.84450427221
2020-06-26,28973.72563801754,30426.642449553943,30581.029519272448,39512.94100815649,49329.914486111455,39377.84047084284,44495.52542873185,38657.101048398,38847.44830203776,39300.844395552995,41043.315381874396
2020-06-29,-16306.200666977842,30533.074198532315,30687.84064473866,39736.72990874607,49655.19220310394,39377.84047084284,44495.52542873185,40954.837999405485,41156.49929125167,48872.52573458935,50899.15812432027
2020-06-30,-14408.038784166689,30538.28499950813,30693.096645240486,39779.25682329863,49719.74356611164,39377.84047084284,44495.52542873185,40779.892775466345,40980.692638441484,47956.37338612966,49955.71679644541
2020-07-01,-5337.094981699435,30543.249156895137,30698.129381413924,39759.61206656574,49635.35469514375,39377.84047084284,44495.52542873185,40381.02894872137,40579.86480943202,46386.58642912721,48331.698735969156
2020-07-02,-6640.178531817066,30543.409768199366,30698.28304438984,39783.23011777257,49688.36669844826,39377.84047084284,44495.52542873185,39268.8067342997,39462.16602180102,42387.39130844644,44193.46318286147
2020-07-06,-19080.269411849957,30538.525087559705,30693.411008867228,39731.29001355381,49587.753675404456,39377.84047084284,44495.52542873185,38260.084904674244,38448.47725402582,39177.342113426086,40871.54698591726
2020-07-07,7181.391019383612,30551.30176057154,30706.30145048366,39815.99579310347,49704.20325356582,39377.84047084284,44495.52542873185,38655.11907253724,38845.45656694386,41815.73738034073,43589.40443481394
2020-07-08,-14583.107556502087,30563.532478876194,30718.55921007125,39753.25538415911,49540.29185746318,39377.84047084284,44495.52542873185,37700.28371598265,37885.919608798125,38822.893584291094,40490.20604232571
2020-07-09,-3681.067714980103,30568.368764015097,30723.446553730104,39775.80945159381,49555.66034452604,39377.84047084284,44495.52542873185,37484.511446086806,37669.08487798637,39083.90595086192,40743.51134088732
2020-07-10,-4422.889569002151,30558.87443000881,30713.944278391245,39812.30928655351,49658.72996286413,39377.84047084284,44495.52542873185,36403.06631169384,36582.314716477784,35785.022370572915,37331.45382736043
2020-07-13,14393.218709487935,30553.486342627682,30708.477644071132,39843.7673427003,49771.83345427562,39377.84047084284,44495.52542873185,35383.95506257958,35558.185371796055,33053.239641308035,34494.68138705141
2020-07-14,-9443.343326111924,30583.304276397845,30738.387525801023,39878.680627732494,49783.7457482825,39377.84047084284,44495.52542873185,35272.823009312226,35446.506105195134,34477.71394154968,35960.62725914289
2020-07-15,-2627.3271786021123,30583.137179826575,30738.247993222074,39807.12938620873,49619.694916852255,39377.84047084284,44495.52542873185,34619.05002166288,34789.51394462987,33308.509548927905,34755.45550788549
2020-07-16,9031.413185353187,30575.174605373417,30730.27750208443,39851.74672014232,49736.350809368756,39377.84047084284,44495.52542873185,33597.78796365636,33763.22320049025,30617.60820691147,31976.833897527045
